ID,Date,Symbol,Code,Company Name,Open Price,High Price,Low Price,Close Price,Volume,Previous Close
208,4-Jul-25,FABL,807,Faysal Bank,80.64,80.64,78.6,79.93,3682036,80.21
209,4-Jul-25,FABL-AUG,40,Faysal Bank,0,0,0,81.75,0,82.14
210,4-Jul-25,FABL-JUL,40,Faysal Bank,80.02,81,79.11,80.7,1683000,80.72
211,4-Jul-25,FABL-SEP,40,Faysal Bank,0,0,0,82.69,0,83.08
212,4-Jul-25,FANM,819,AL-Noor Mod,4.25,4.3,4.25,4.3,1836,4.3
213,4-Jul-25,FASM,829,Faisal Spinning,331.99,360,322.05,346.02,399,355.57
214,4-Jul-25,FATIMA,809,Fatima Fert,100.5,101.98,100.5,101.29,137422,101.22
215,4-Jul-25,FATIMA-AUG,40,Fatima Fert,0,0,0,103.59,0,103.65
216,4-Jul-25,FATIMA-JUL,40,Fatima Fert,102,102.01,102,102.01,1000,102
217,4-Jul-25,FATIMA-SEP,40,Fatima Fert,0,0,0,104.79,0,104.84
218,4-Jul-25,FCCL,804,Fauji Cement,46.23,46.31,45.5,45.87,2478460,45.99
219,4-Jul-25,FCCL-AUG,40,Fauji Cement,0,0,0,46.91,0,47.09
220,4-Jul-25,FCCL-JUL,40,Fauji Cement,46.4,46.52,45.88,46.13,443000,46.21
221,4-Jul-25,FCCL-SEP,40,Fauji Cement,0,0,0,47.45,0,47.64
222,4-Jul-25,FCEL,813,First Cap.Equit,4.41,4.41,4.2,4.2,1005,4.05
223,4-Jul-25,FCEPL,810,Frieslandcampina,88.81,89.49,87.5,88.55,390163,88.81
224,4-Jul-25,FCEPL-AUG,40,Frieslandcampina,0,0,0,90.56,0,90.94
225,4-Jul-25,FCEPL-JUL,40,Frieslandcampina,89.2,91,88.5,89,63500,89.42
226,4-Jul-25,FCEPL-SEP,40,Frieslandcampina,0,0,0,91.61,0,91.99
227,4-Jul-25,FCIBL,813,F.Credit & Inv,16.41,16.41,13.51,16.41,76674,14.92
228,4-Jul-25,FCL,803,Fast Cables Ltd.,25.5,26.44,25.5,25.8,11364366,25.47
229,4-Jul-25,FCSC,813,Ist.Capital Sec,2.76,2.89,2.69,2.72,1754449,2.76
230,4-Jul-25,FDPL,813,First Dawood Prop,4.94,5.3,4.94,5.18,4452226,4.96
231,4-Jul-25,FECM,819,Elite Cap.Mod,35.1,37.41,35.1,37.41,12333,34.01
232,4-Jul-25,FECTC,804,Fecto Cement,90,90.9,87.03,88.35,120820,90.5
233,4-Jul-25,FEM,819,Equity Modaraba,4.85,4.89,4.13,4.63,26780,4.62
234,4-Jul-25,FEROZ,823,Ferozsons (Lab),385.05,394.01,385.05,386.96,69998,388.48
235,4-Jul-25,FFC,809,Fauji Fert,417,417,403,404.86,1818337,413.74
236,4-Jul-25,FFC-AUG,40,Fauji Fert,0,0,0,414.07,0,423.67
237,4-Jul-25,FFC-JULB,40,Fauji Fert,413,414.89,406.8,407,207500,415.27
238,4-Jul-25,FFC-SEP,40,Fauji Fert,0,0,0,418.84,0,428.55
239,4-Jul-25,FFL,810,Fauji Foods Ltd,16.05,16.09,15.8,15.99,5318032,16.03
240,4-Jul-25,FFL-AUG,40,Fauji Foods Ltd,0,0,0,16.35,0,16.41
241,4-Jul-25,FFL-JUL,40,Fauji Foods Ltd,16.11,16.27,15.9,16.1,2990500,16.16
242,4-Jul-25,FFLM,819,1st.Fid.Leasing,3.44,3.64,3.25,3.43,164582,3.44
243,4-Jul-25,FFL-SEP,40,Fauji Foods Ltd,0,0,0,16.54,0,16.6
244,4-Jul-25,FHAM,819,Habib Modaraba,23.75,24.4,23.11,23.98,16783,23.75
